Objective,CPU Frequency (MHz),Frequency (MHz),Heap Label,Heap Multiplier Value,Benchmark_Coverage,Tie_Config_Count,Configuration
E²DP,2.4GHz,2400.0,6x,6.0,10,10,2.4GHz / 6x
E²DP,2.7GHz,2700.0,5x,5.0,10,10,2.7GHz / 5x
E²DP,2.7GHz,2700.0,6x,6.0,10,10,2.7GHz / 6x
E²DP,2.0GHz,2000.0,4x,4.0,9,9,2.0GHz / 4x
E²DP,2.4GHz,2400.0,3x,3.0,9,9,2.4GHz / 3x
E²DP,2.4GHz,2400.0,5x,5.0,9,9,2.4GHz / 5x
E²DP,2.0GHz,2000.0,3x,3.0,8,8,2.0GHz / 3x
E²DP,1.6GHz,1600.0,4x,4.0,7,7,1.6GHz / 4x
E²DP,1.6GHz,1600.0,6x,6.0,7,7,1.6GHz / 6x
E²DP,2.0GHz,2000.0,2x,2.0,7,7,2.0GHz / 2x
E²DP,2.4GHz,2400.0,2x,2.0,7,7,2.4GHz / 2x
E²DP,2.7GHz,2700.0,2x,2.0,7,7,2.7GHz / 2x
E²DP,1.6GHz,1600.0,5x,5.0,6,6,1.6GHz / 5x
E²DP,2.7GHz,2700.0,3x,3.0,6,6,2.7GHz / 3x
E²DP,1.6GHz,1600.0,2x,2.0,4,4,1.6GHz / 2x
E²DP,1.6GHz,1600.0,3x,3.0,4,4,1.6GHz / 3x
E²DP,1.2GHz,1200.0,2x,2.0,1,1,1.2GHz / 2x
E²DP,1.2GHz,1200.0,3x,3.0,1,1,1.2GHz / 3x
E²DP,1.2GHz,1200.0,4x,4.0,1,1,1.2GHz / 4x
E²DP,1.2GHz,1200.0,6x,6.0,1,1,1.2GHz / 6x
Tempo,2.7GHz,2700.0,4x,4.0,13,13,2.7GHz / 4x
Tempo,2.7GHz,2700.0,6x,6.0,12,12,2.7GHz / 6x
Tempo,2.7GHz,2700.0,5x,5.0,11,11,2.7GHz / 5x
Tempo,2.7GHz,2700.0,2x,2.0,9,9,2.7GHz / 2x
Tempo,2.7GHz,2700.0,3x,3.0,7,7,2.7GHz / 3x
Tempo,2.4GHz,2400.0,4x,4.0,6,6,2.4GHz / 4x
Tempo,2.4GHz,2400.0,6x,6.0,5,5,2.4GHz / 6x
Tempo,2.4GHz,2400.0,2x,2.0,4,4,2.4GHz / 2x
Tempo,2.4GHz,2400.0,5x,5.0,4,4,2.4GHz / 5x
Tempo,2.0GHz,2000.0,6x,6.0,3,3,2.0GHz / 6x
Tempo,2.4GHz,2400.0,3x,3.0,3,3,2.4GHz / 3x
Tempo,2.0GHz,2000.0,3x,3.0,2,2,2.0GHz / 3x
Tempo,2.0GHz,2000.0,5x,5.0,2,2,2.0GHz / 5x
Tempo,1.6GHz,1600.0,2x,2.0,1,1,1.6GHz / 2x
Tempo,1.6GHz,1600.0,3x,3.0,1,1,1.6GHz / 3x
Tempo,1.6GHz,1600.0,4x,4.0,1,1,1.6GHz / 4x
Tempo,1.6GHz,1600.0,5x,5.0,1,1,1.6GHz / 5x
Tempo,1.6GHz,1600.0,6x,6.0,1,1,1.6GHz / 6x
Tempo,2.0GHz,2000.0,2x,2.0,1,1,2.0GHz / 2x
Tempo,2.0GHz,2000.0,4x,4.0,1,1,2.0GHz / 4x
Tempo,2.4GHz,2400.0,1x,1.0,1,1,2.4GHz / 1x
Tempo,2.7GHz,2700.0,1x,1.0,1,1,2.7GHz / 1x
